x, y
24.595419, 0.000000
24.587181, 0.000000
24.578945, 0.000000
24.570709, 0.000000
24.562473, 0.000000
24.554235, 0.000000
24.546000, 0.000000
24.537764, 0.000000
24.529528, 0.000000
24.521290, 0.000000
24.513054, 0.000000
24.504818, 0.000000
24.496582, 0.000000
24.488344, 0.000000
24.480108, 0.000000
24.471872, 0.000000
24.463636, 0.000000
24.455399, 0.000000
24.447163, 0.000000
24.438927, 0.000000
24.430689, 0.000000
24.422453, 0.000000
24.414217, 0.000000
24.405981, 0.000000
24.397743, 0.000000
24.389507, 0.000000
24.381271, 0.000000
24.373035, 0.000000
24.364798, 0.000000
24.356562, 0.000000
24.348326, 0.000000
24.340090, 0.000000
24.331852, 0.000000
24.323616, 0.000000
24.315380, 0.000000
24.307144, 0.000000
24.298906, 0.000000
24.290670, 0.000000
24.282434, 0.000000
24.274197, 0.000000
24.265961, 0.000000
24.257725, 0.000000
24.249489, 0.000000
24.241251, 0.000000
24.233015, 0.000000
24.224779, 0.000000
24.216543, 0.000000
24.208305, 0.000000
24.200069, 0.000000
24.191833, 0.000000
24.183598, 0.000000
24.175360, 0.000000
24.167124, 0.000000
24.158888, 0.000000
24.150650, 0.000000
24.142414, 0.000000
24.134178, 0.000000
24.125942, 0.000000
24.117704, 0.000000
24.109468, 0.000000
24.101233, 0.000000
24.092997, 0.000000
24.084759, 0.000000
24.076523, 0.000000
24.068287, 0.000000
24.060051, 0.000000
24.051813, 0.000000
24.043577, 0.000000
24.035341, 0.000000
24.027105, 0.000000
24.018867, 0.000000
24.010632, 0.000000
24.002396, 0.000000
23.994158, 0.000000
23.985922, 0.000000
23.977686, 0.000000
23.969450, 0.000000
23.961212, 0.000000
23.952976, 0.000000
23.944740, 0.000000
23.936504, 0.000000
23.928267, 0.000000
23.920031, 0.000000
23.911795, 0.000000
23.903559, 0.000000
23.895321, 0.000000
23.887085, 0.000000
23.878849, 0.000000
23.870613, 0.000000
23.862375, 0.000000
23.854139, 0.000000
23.845903, 0.000000
23.837666, 0.000000
23.829430, 0.000000
23.821194, 0.000000
23.812958, 0.000000
23.804720, 0.000000
23.796484, 0.000000
23.788248, 0.000000
23.780012, 0.000000
23.771774, 0.000000
23.763538, 0.000000
23.755302, 0.000000
23.747066, 0.000000
23.738829, 0.000000
23.730593, 0.000000
23.722357, 0.000000
23.714121, 0.000000
23.705883, 0.000000
23.697647, 0.000000
23.689411, 0.000000
23.681173, 0.000000
23.672937, 0.000000
23.664701, 0.000000
23.656466, 0.000000
23.648228, 0.000000
23.639992, 0.000000
23.631756, 0.000000
23.623520, 0.000000
23.615282, 0.000000
23.607046, 0.000000
23.598810, 0.000000
23.590574, 0.000000
23.582336, 0.000000
23.574100, 0.000000
23.565865, 0.000000
23.557629, 0.000000
23.549391, 0.000000
23.541155, -12.232679
23.532919, 64.695236
23.524681, -39.363720
23.516445, 4.570613
23.508209, 11.110626
23.499973, -7.775185
23.491735, 17.596087
23.483500, -129.789673
23.475264, -23.059965
23.467028, 41.779335
23.458790, 70.779739
23.450554, -16.613060
23.442318, 74.819183
23.434082, -47.071930
23.425844, -9.734882
23.417608, -75.854202
23.409372, -62.027355
23.401136, 12.384041
23.392899, -18.010933
23.384663, -26.748024
23.376427, 65.921280
23.368189, -36.055157
23.359953, 80.611221
23.351717, 2.719442
23.343481, -77.177734
23.335243, -39.340588
23.327007, 80.403587
23.318771, 18.886028
23.310535, 56.300755
23.302298, 37.121368
23.294062, 142.806778
23.285826, 97.355026
23.277590, 122.444313
23.269352, 121.446304
23.261116, 142.006485
23.252880, -77.766541
23.244642, 24.040787
23.236406, 201.390289
23.228170, 269.277679
23.219934, 244.505615
23.211697, 270.634766
23.203461, 355.508850
23.195225, 382.051086
23.186989, 598.365234
23.178751, 646.077332
23.170515, 691.517456
23.162279, 765.425537
23.154043, 874.459167
23.145805, 1192.899414
23.137569, 1500.787964
23.129333, 1938.387451
23.121098, 2149.252441
23.112860, 2429.359619
23.104624, 2751.462646
23.096388, 3357.349609
23.088150, 4356.203613
23.079914, 4669.069336
23.071678, 4907.106445
23.063442, 5265.433594
23.055204, 5711.523438
23.046968, 6072.998047
23.038733, 5902.585938
23.030497, 6218.290039
23.022259, 6525.087891
23.014023, 6844.946289
23.005787, 6775.768555
22.997551, 7255.536133
22.989313, 7430.594238
22.981077, 7172.235352
22.972841, 6671.806152
22.964605, 6750.520996
22.956367, 7250.793945
22.948132, 7292.297363
22.939896, 6948.886719
22.931658, 6659.880859
22.923422, 6601.046875
22.915186, 6845.265137
22.906950, 7360.561523
22.898712, 7687.431152
22.890476, 6550.354980
22.882240, 5811.071777
22.874004, 5683.190430
22.865767, 5805.826660
22.857531, 5880.516602
22.849295, 6618.182617
22.841059, 6754.412109
22.832821, 6853.599609
22.824585, 6740.539551
22.816349, 6171.654297
22.808113, 5241.847656
22.799875, 4191.032227
22.791639, 3566.036133
22.783403, 2945.033203
22.775166, 2709.062012
22.766930, 2778.318359
22.758694, 2774.507813
22.750458, 2715.952148
22.742220, 2659.905273
22.733984, 2616.111572
22.725748, 2609.258789
22.717512, 2764.077881
22.709274, 2682.458008
22.701038, 2803.617432
22.692802, 3108.390137
22.684566, 3315.184082
22.676329, 3012.501465
22.668093, 2868.588867
22.659857, 2968.336914
22.651621, 2887.224609
22.643383, 2840.109375
22.635147, 2716.201416
22.626911, 2700.269531
22.618673, 2973.617188
22.610437, 3236.364746
22.602201, 3530.712402
22.593966, 4697.650879
22.585728, 5219.753906
22.577492, 5030.137207
22.569256, 4480.960938
22.561020, 3837.696289
22.552782, 3509.238770
22.544546, 3582.434570
22.536310, 4204.675781
22.528074, 5796.953125
22.519836, 8941.251953
22.511600, 14074.971680
22.503365, 20218.429688
22.495129, 21352.064453
22.486891, 16050.826172
22.478655, 9597.407227
22.470419, 5382.136719
22.462181, 3502.874023
22.453945, 2744.514160
22.445709, 2210.311523
22.437473, 1926.162842
22.429235, 1777.493774
22.421000, 1843.373047
22.412764, 1780.013062
22.404528, 1792.722412
22.396290, 1763.398071
22.388054, 1795.551758
22.379818, 1619.486572
22.371582, 1622.906494
22.363344, 1479.331055
22.355108, 1745.051514
22.346872, 1622.500000
22.338634, 1392.074219
22.330399, 1525.928955
22.322163, 1389.802368
22.313927, 1478.749512
22.305689, 1463.077881
22.297453, 1402.256592
22.289217, 1643.989868
22.280981, 1611.049683
22.272743, 1747.697998
22.264507, 1752.431396
22.256271, 1944.523804
22.248035, 2336.029297
22.239798, 3345.844238
22.231562, 4889.331055
22.223326, 5175.312500
22.215090, 4884.010742
22.206852, 5881.307617
22.198616, 8418.027344
22.190380, 11748.041016
22.182142, 11377.710938
22.173906, 7735.246582
22.165670, 4397.465820
22.157434, 2796.549805
22.149197, 2362.114990
22.140961, 2014.091431
22.132725, 1973.027832
22.124489, 1890.087646
22.116251, 1897.648804
22.108015, 2153.036621
22.099779, 1969.739136
22.091543, 1783.842041
22.083305, 1626.107666
22.075069, 1839.552734
22.066833, 2018.880005
22.058598, 2378.438965
22.050360, 3140.664795
22.042124, 3517.039307
22.033888, 3295.642090
22.025650, 3208.086426
22.017414, 2970.245605
22.009178, 2401.489990
22.000942, 1885.285400
21.992704, 1593.472534
21.984468, 1259.605347
21.976233, 1402.811768
21.967997, 1269.552490
21.959759, 1177.533691
21.951523, 1155.992554
21.943287, 1015.591797
21.935051, 1036.505615
21.926813, 973.297180
21.918577, 974.297424
21.910341, 880.865234
21.902105, 758.992859
21.893867, 876.970093
21.885632, 927.285278
21.877396, 946.012451
21.869158, 893.760193
21.860922, 957.558533
21.852686, 1081.448975
21.844450, 1037.971802
21.836212, 876.399536
21.827976, 828.925903
21.819740, 918.113647
21.811504, 1062.808838
